gene,IMR-90_NPC_siNC_1,IMR-90_NPC_siNC_2,IMR-90_NPC_siNC_3,IMR-90_NPC_siNC_4,IMR-90_NPC_siNC_5,IMR-90_NPC_siNC_6,IMR-90_NPC_siZCC_1,IMR-90_NPC_siZCC_2,IMR-90_NPC_siZCC_3,IMR-90_NPC_siZCC_4,IMR-90_NPC_siZCC_5,IMR-90_NPC_siZCC_6
DRAP1,8921,10307,10333,7472,9781,9342,8489,8767,7857,6954,7589,8640
TSGA10IP,21,32,31,13,39,20,29,38,22,34,17,34
SART1,8555,9888,9605,7441,9348,9209,7063,7952,7232,6206,7360,7830
AP006287.1,3,3,4,2,4,9,3,3,2,5,6,8
EIF1AD,2906,3300,3335,2535,3163,3159,2257,2693,2364,2037,2163,2540
BANF1,10171,11543,11666,8163,10971,10110,8141,9269,8273,7128,7876,9199
CST6,9,7,5,10,3,8,5,6,4,3,5,6
CATSPER1,5,6,13,9,9,2,3,3,5,14,2,5
GAL3ST3,3470,3878,3893,3019,3900,3762,3311,3619,3206,2857,2936,3148
AP006287.3,7,3,8,2,4,10,9,5,2,5,4,5
SF3B2,39472,44030,42952,32783,43541,39984,32684,38497,33944,29340,31236,35996
AP006287.2,10,5,6,3,4,7,8,4,3,6,6,5
PACS1,16413,19183,18664,14617,19148,17639,13952,16815,14580,12688,13827,14409
AP000759.1,66,75,87,52,64,59,70,56,53,61,50,72
KLC2,10996,12486,12520,9746,12197,11585,9486,10461,9558,8376,9194,9835
AP001107.4,14,7,11,5,21,10,20,8,14,4,7,13
AP001107.8,17,17,20,8,17,10,25,11,21,8,5,15
AP001107.7,4,10,10,9,8,10,11,5,1,1,4,1
RAB1B,15447,17196,17865,13401,16506,16289,12358,13630,12569,11507,12251,14258
AP001107.1,43,45,61,24,36,35,64,28,30,23,28,33
AP001107.2,22,18,20,7,21,4,38,5,16,11,10,14
CNIH2,8658,10052,10257,7525,9931,9450,7617,8382,7624,6809,7225,7561
YIF1A,4346,4747,4837,3408,4408,4343,3740,4071,3849,3110,3462,4169
TMEM151A,1313,1640,1588,1045,1694,1352,1307,1285,1061,1055,1192,1143
AP001107.3,3,5,3,2,4,4,2,4,2,0,1,0
CD248,53,58,52,49,70,68,35,39,43,28,36,54
RIN1,1315,1690,1522,1143,1601,1412,1322,1566,1279,1024,1230,1346
AP001107.6,7,4,4,2,1,5,1,2,2,3,3,2
BRMS1,3282,3854,3648,2753,3465,3499,2480,2879,2670,2229,2525,2898
B4GAT1,15046,16437,16109,11918,16040,15089,13739,15183,14227,12643,12672,15091
AP001107.9,601,664,687,497,656,580,388,518,375,300,408,410
SLC29A2,1457,1281,1469,1272,1211,1259,1160,1306,1258,910,1018,1291
AP001107.10,0,1,0,0,0,0,0,0,0,0,0,0
BRD9P1,0,0,0,0,0,0,0,0,0,0,0,0
RNU1-84P,0,0,0,0,0,0,0,0,0,0,0,0
AP001107.5,662,676,715,606,718,684,390,477,425,323,437,405
NPAS4,223,258,297,233,282,231,131,219,135,115,153,139
AP002748.1,0,0,0,0,1,0,0,3,0,0,0,0
MRPL11,2232,2500,2634,1890,2437,2190,1796,2190,1837,1575,1758,2050
AP002748.3,1,1,0,0,2,1,0,0,3,1,0,0
PELI3,2304,2843,2673,1981,2778,2423,2218,2396,2281,2013,2116,2390
AP002748.4,482,449,486,388,490,470,294,316,297,242,334,327
DPP3,5316,5786,5863,4317,5728,5343,4137,5126,4552,3832,4207,4838
AP002748.5,0,1,0,0,1,1,0,0,0,1,0,0
BBS1,670,676,721,609,677,627,441,658,590,362,499,560
AP002748.6,15,13,10,14,21,16,18,22,17,9,8,28
ZDHHC24,2676,2776,2745,2025,2780,2738,1908,2374,2110,1776,1896,2237
ACTN3,15,19,18,9,13,10,5,17,8,10,11,12
AP002748.2,1,7,3,7,6,5,4,3,2,3,2,6
CTSF,2283,2787,2787,2114,2967,2487,2133,2669,2240,2120,2207,2438
CCDC87,53,66,75,53,82,69,50,43,43,48,42,53
CCS,1836,2419,2114,1611,2223,1903,1557,2064,1589,1414,1654,1806
